WKT,unnamed (1),unnamed (2),unnamed (3),unnamed (4)
,,PHT,LINTANG ,BUJUR
"POINT (102.20533978327052 -2.11350978684754)",BNGKO - SPNUH #0038,TOWER SUTT 150kV BNGKO - SPNUH #0038,-2.11350978684754,102.20533978327052
"POINT (102.2033463092521 -2.114815908134941)",BNGKO - SPNUH #0039,TOWER SUTT 150kV BNGKO - SPNUH #0039,-2.114815908134941,102.2033463092521
"POINT (102.20188708277439 -2.1167682000670345)",BNGKO - SPNUH #0040,TOWER SUTT 150kV BNGKO - SPNUH #0040,-2.1167682000670345,102.20188708277439
"POINT (102.20006785140521 -2.1189091413014736)",BNGKO - SPNUH #0041,TOWER SUTT 150kV BNGKO - SPNUH #0041,-2.1189091413014736,102.20006785140521
"POINT (102.198158 -2.121261)",BNGKO - SPNUH #0042,TOWER SUTT 150kV BNGKO - SPNUH #0042,-2.121261,102.198158
"POINT (102.19671928491425 -2.123157869669237)",BNGKO - SPNUH #0043,TOWER SUTT 150kV BNGKO - SPNUH #0043,-2.123157869669237,102.19671928491425
"POINT (102.19442733365075 -2.1236778702493964)",BNGKO - SPNUH #0044,TOWER SUTT 150kV BNGKO - SPNUH #0044,-2.1236778702493964,102.19442733365075
"POINT (102.19211673364045 -2.124168793670839)",BNGKO - SPNUH #0045,TOWER SUTT 150kV BNGKO - SPNUH #0045,-2.124168793670839,102.19211673364045
"POINT (102.1890353892994 -2.1247989154293965)",BNGKO - SPNUH #0046,TOWER SUTT 150kV BNGKO - SPNUH #0046,-2.1247989154293965,102.1890353892994
"POINT (102.18612359863012 -2.125493358722567)",BNGKO - SPNUH #0047,TOWER SUTT 150kV BNGKO - SPNUH #0047,-2.125493358722567,102.18612359863012
"POINT (102.18312450684613 -2.12617014069115)",BNGKO - SPNUH #0048,TOWER SUTT 150kV BNGKO - SPNUH #0048,-2.12617014069115,102.18312450684613
"POINT (102.18058679715598 -2.126716358268282)",BNGKO - SPNUH #0049,TOWER SUTT 150kV BNGKO - SPNUH #0049,-2.126716358268282,102.18058679715598
"POINT (102.17807185210339 -2.127217762396804)",BNGKO - SPNUH #0050,TOWER SUTT 150kV BNGKO - SPNUH #0050,-2.127217762396804,102.17807185210339
"POINT (102.17562756501127 -2.12784094037502)",BNGKO - SPNUH #0051,TOWER SUTT 150kV BNGKO - SPNUH #0051,-2.12784094037502,102.17562756501127
"POINT (102.17235007808844 -2.1284934326402736)",BNGKO - SPNUH #0052,TOWER SUTT 150kV BNGKO - SPNUH #0052,-2.1284934326402736,102.17235007808844
"POINT (102.16950962920603 -2.129074996169074)",BNGKO - SPNUH #0053,TOWER SUTT 150kV BNGKO - SPNUH #0053,-2.129074996169074,102.16950962920603
"POINT (102.16695611947215 -2.129397852695643)",BNGKO - SPNUH #0054,TOWER SUTT 150kV BNGKO - SPNUH #0054,-2.129397852695643,102.16695611947215
"POINT (102.1645717180497 -2.1300514343437227)",BNGKO - SPNUH #0055,TOWER SUTT 150kV BNGKO - SPNUH #0055,-2.1300514343437227,102.1645717180497
"POINT (102.16205708666662 -2.1301623744445197)",BNGKO - SPNUH #0056,TOWER SUTT 150kV BNGKO - SPNUH #0056,-2.1301623744445197,102.16205708666662
"POINT (102.158493520692 -2.13070909027011)",BNGKO - SPNUH #0057,TOWER SUTT 150kV BNGKO - SPNUH #0057,-2.13070909027011,102.158493520692
"POINT (102.1560013666749 -2.130920144263669)",BNGKO - SPNUH #0058,TOWER SUTT 150kV BNGKO - SPNUH #0058,-2.130920144263669,102.1560013666749
"POINT (102.15348151799985 -2.131227998000077)",BNGKO - SPNUH #0059,TOWER SUTT 150kV BNGKO - SPNUH #0059,-2.131227998000077,102.15348151799985
"POINT (102.15079434000008 -2.1312133725000066)",BNGKO - SPNUH #0060,TOWER SUTT 150kV BNGKO - SPNUH #0060,-2.1312133725000066,102.15079434000008
"POINT (102.14786616011791 -2.1320340458615963)",BNGKO - SPNUH #0061,TOWER SUTT 150kV BNGKO - SPNUH #0061,-2.1320340458615963,102.147866160117915
"POINT (102.14533104631943 -2.1329358363732913)",BNGKO - SPNUH #0062,TOWER SUTT 150kV BNGKO - SPNUH #0062,-2.1329358363732913,102.14533104631943
"POINT (102.14359064185287 -2.1335818343029365)",BNGKO - SPNUH #0063,TOWER SUTT 150kV BNGKO - SPNUH #0063,-2.1335818343029365,102.14359064185287
"POINT (102.140817 -2.134329)",BNGKO - SPNUH #0064,TOWER SUTT 150kV BNGKO - SPNUH #0064,-2.134329,102.140817
"POINT (102.13798760203638 -2.1353193215328283)",BNGKO - SPNUH #0065,TOWER SUTT 150kV BNGKO - SPNUH #0065,-2.1353193215328283,102.13798760203638
"POINT (102.13639685884122 -2.1359944669529876)",BNGKO - SPNUH #0066,TOWER SUTT 150kV BNGKO - SPNUH #0066,-2.1359944669529876,102.13639685884122
"POINT (102.13301928762026 -2.1371278648789755)",BNGKO - SPNUH #0067,TOWER SUTT 150kV BNGKO - SPNUH #0067,-2.1371278648789755,102.13301928762026
"POINT (102.12950439103577 -2.138406623420683)",BNGKO - SPNUH #0068,TOWER SUTT 150kV BNGKO - SPNUH #0068,-2.138406623420683,102.12950439103577
"POINT (102.12662209195116 -2.1393393461883283)",BNGKO - SPNUH #0069,TOWER SUTT 150kV BNGKO - SPNUH #0069,-2.1393393461883283,102.12662209195116
"POINT (102.12398912175554 -2.1403385518351974)",BNGKO - SPNUH #0070,TOWER SUTT 150kV BNGKO - SPNUH #0070,-2.1403385518351974,102.12398912175554
"POINT (102.12112623034044 -2.139957803883598)",BNGKO - SPNUH #0071,TOWER SUTT 150kV BNGKO - SPNUH #0071,-2.139957803883598,102.12112623034044
"POINT (102.11884645390735 -2.1396922290916494)",BNGKO - SPNUH #0072,TOWER SUTT 150kV BNGKO - SPNUH #0072,-2.1396922290916494,102.11884645390735
"POINT (102.11682395211287 -2.139591581132123)",BNGKO - SPNUH #0073,TOWER SUTT 150kV BNGKO - SPNUH #0073,-2.1395915811321229,102.11682395211287
"POINT (102.11371460929516 -2.141228895634439)",BNGKO - SPNUH #0074,TOWER SUTT 150kV BNGKO - SPNUH #0074,-2.141228895634439,102.11371460929516
"POINT (102.11133092365094 -2.142369989248891)",BNGKO - SPNUH #0075,TOWER SUTT 150kV BNGKO - SPNUH #0075,-2.1423699892488913,102.11133092365094
"POINT (102.10879546688697 -2.1437924088455365)",BNGKO - SPNUH #0076,TOWER SUTT 150kV BNGKO - SPNUH #0076,-2.1437924088455365,102.10879546688697
"POINT (102.10579533129929 -2.145367748370133)",BNGKO - SPNUH #0077,TOWER SUTT 150kV BNGKO - SPNUH #0077,-2.145367748370133,102.10579533129929
"POINT (102.102603 -2.147203)",BNGKO - SPNUH #0078,TOWER SUTT 150kV BNGKO - SPNUH #0078,-2.147203,102.102603
"POINT (102.10104410777407 -2.1484308444693836)",BNGKO - SPNUH #0079,TOWER SUTT 150kV BNGKO - SPNUH #0079,-2.1484308444693836,102.10104410777407
"POINT (102.098396 -2.150764)",BNGKO - SPNUH #0080,TOWER SUTT 150kV BNGKO - SPNUH #0080,-2.150764,102.098396
"POINT (102.0949298110805 -2.1521117322792813)",BNGKO - SPNUH #0081,TOWER SUTT 150kV BNGKO - SPNUH #0081,-2.1521117322792813,102.094929811080507
"POINT (102.091874 -2.15333)",BNGKO - SPNUH #0082,TOWER SUTT 150kV BNGKO - SPNUH #0082,-2.15333,102.091874
"POINT (102.08969002371992 -2.154053070779464)",BNGKO - SPNUH #0083,TOWER SUTT 150kV BNGKO - SPNUH #0083,-2.154053070779464,102.08969002371992
"POINT (102.087322 -2.155073)",BNGKO - SPNUH #0084,TOWER SUTT 150kV BNGKO - SPNUH #0084,-2.155073,102.087322
"POINT (102.0845675014425 -2.155463978997434)",BNGKO - SPNUH #0085,TOWER SUTT 150kV BNGKO - SPNUH #0085,-2.155463978997434,102.0845675014425
"POINT (102.07995102740828 -2.1563338581472755)",BNGKO - SPNUH #0086,TOWER SUTT 150kV BNGKO - SPNUH #0086,-2.1563338581472755,102.07995102740828
"POINT (102.077 -2.15702)",BNGKO - SPNUH #0087,TOWER SUTT 150kV BNGKO - SPNUH #0087,-2.15702,102.077
"POINT (102.07414 -2.157589)",BNGKO - SPNUH #0088,TOWER SUTT 150kV BNGKO - SPNUH #0088,-2.157589,102.07414
"POINT (102.07099300633166 -2.158264400697061)",BNGKO - SPNUH #0089,TOWER SUTT 150kV BNGKO - SPNUH #0089,-2.158264400697061,102.07099300633166
"POINT (102.067 -2.15863)",BNGKO - SPNUH #0090,TOWER SUTT 150kV BNGKO - SPNUH #0090,-2.15863,102.067
"POINT (102.06497999492214 -2.1571503993716656)",BNGKO - SPNUH #0091,TOWER SUTT 150kV BNGKO - SPNUH #0091,-2.1571503993716656,102.06497999492214
"POINT (102.06272865009703 -2.1556382206685947)",BNGKO - SPNUH #0092,TOWER SUTT 150kV BNGKO - SPNUH #0092,-2.1556382206685947,102.06272865009703
"POINT (102.06068352549529 -2.1543301872804537)",BNGKO - SPNUH #0093,TOWER SUTT 150kV BNGKO - SPNUH #0093,-2.1543301872804537,102.06068352549529
"POINT (102.05898455759186 -2.1532434673739598)",BNGKO - SPNUH #0094,TOWER SUTT 150kV BNGKO - SPNUH #0094,-2.1532434673739598,102.05898455759186
"POINT (102.05629371505765 -2.151396156820888)",BNGKO - SPNUH #0095,TOWER SUTT 150kV BNGKO - SPNUH #0095,-2.151396156820888,102.05629371505765
"POINT (102.05377841368316 -2.1496218116954844)",BNGKO - SPNUH #0096,TOWER SUTT 150kV BNGKO - SPNUH #0096,-2.1496218116954844,102.05377841368316
"POINT (102.05239063873887 -2.1491351192817088)",BNGKO - SPNUH #0097,TOWER SUTT 150kV BNGKO - SPNUH #0097,-2.1491351192817088,102.05239063873887
"POINT (102.04951733777122 -2.1470563809739507)",BNGKO - SPNUH #0098,TOWER SUTT 150kV BNGKO - SPNUH #0098,-2.1470563809739507,102.04951733777122
"POINT (102.047154 -2.14543)",BNGKO - SPNUH #0099,TOWER SUTT 150kV BNGKO - SPNUH #0099,-2.14543,102.047154
"POINT (102.04385296548217 -2.1431501383738913)",BNGKO - SPNUH #0100,TOWER SUTT 150kV BNGKO - SPNUH #0100,-2.1431501383738913,102.04385296548217
"POINT (102.04133089631797 -2.1413286169991195)",BNGKO - SPNUH #0101,TOWER SUTT 150kV BNGKO - SPNUH #0101,-2.1413286169991195,102.04133089631797
"POINT (102.03947694706055 -2.1398998198233166)",BNGKO - SPNUH #0102,TOWER SUTT 150kV BNGKO - SPNUH #0102,-2.1398998198233166,102.03947694706055
"POINT (102.03689923527821 -2.1382520875053292)",BNGKO - SPNUH #0103,TOWER SUTT 150kV BNGKO - SPNUH #0103,-2.1382520875053292,102.03689923527821
"POINT (102.03347156489535 -2.1358509055737933)",BNGKO - SPNUH #0104,TOWER SUTT 150kV BNGKO - SPNUH #0104,-2.1358509055737933,102.03347156489535
"POINT (102.03206547129814 -2.13518274195922)",BNGKO - SPNUH #0105,TOWER SUTT 150kV BNGKO - SPNUH #0105,-2.13518274195922,102.03206547129814
"POINT (102.02991402549898 -2.1337580167408166)",BNGKO - SPNUH #0106,TOWER SUTT 150kV BNGKO - SPNUH #0106,-2.1337580167408166,102.02991402549898
"POINT (102.02721729967648 -2.1316683691100438)",BNGKO - SPNUH #0107,TOWER SUTT 150kV BNGKO - SPNUH #0107,-2.1316683691100438,102.02721729967648
"POINT (102.026175 -2.127662)",BNGKO - SPNUH #0108,TOWER SUTT 150kV BNGKO - SPNUH #0108,-2.127662,102.026175
"POINT (102.025027 -2.124649)",BNGKO - SPNUH #0109,TOWER SUTT 150kV BNGKO - SPNUH #0109,-2.124649,102.025027
"POINT (102.02386193297784 -2.122289807945504)",BNGKO - SPNUH #0110,TOWER SUTT 150kV BNGKO - SPNUH #0110,-2.122289807945504,102.02386193297784
"POINT (102.02228065430104 -2.120168371082526)",BNGKO - SPNUH #0111,TOWER SUTT 150kV BNGKO - SPNUH #0111,-2.120168371082526,102.02228065430104
"POINT (102.01981014572081 -2.119440762326126)",BNGKO - SPNUH #0112,TOWER SUTT 150kV BNGKO - SPNUH #0112,-2.119440762326126,102.01981014572081
"POINT (102.01716792769727 -2.118408586829911)",BNGKO - SPNUH #0113,TOWER SUTT 150kV BNGKO - SPNUH #0113,-2.118408586829911,102.01716792769727
"POINT (102.01427769370947 -2.1173699588880632)",BNGKO - SPNUH #0114,TOWER SUTT 150kV BNGKO - SPNUH #0114,-2.1173699588880632,102.01427769370947
"POINT (102.01139691036775 -2.1178934721571046)",BNGKO - SPNUH #0115,TOWER SUTT 150kV BNGKO - SPNUH #0115,-2.1178934721571046,102.01139691036775
"POINT (102.00904192668074 -2.118150989992675)",BNGKO - SPNUH #0116,TOWER SUTT 150kV BNGKO - SPNUH #0116,-2.118150989992675,102.00904192668074
"POINT (102.00581172946846 -2.1187246777119633)",BNGKO - SPNUH #0117,TOWER SUTT 150kV BNGKO - SPNUH #0117,-2.1187246777119633,102.00581172946846
"POINT (102.00395697993895 -2.1187671919220326)",BNGKO - SPNUH #0118,TOWER SUTT 150kV BNGKO - SPNUH #0118,-2.1187671919220326,102.00395697993895
"POINT (102.00139604508874 -2.118099539657133)",BNGKO - SPNUH #0119,TOWER SUTT 150kV BNGKO - SPNUH #0119,-2.118099539657133,102.00139604508874
"POINT (101.999230886902 -2.1171069927837163)",BNGKO - SPNUH #0120,TOWER SUTT 150kV BNGKO - SPNUH #0120,-2.1171069927837163,101.999230886902
"POINT (101.99725600111498 -2.1162353246306584)",BNGKO - SPNUH #0121,TOWER SUTT 150kV BNGKO - SPNUH #0121,-2.1162353246306584,101.99725600111498
"POINT (101.99482162749125 -2.1155153846901746)",BNGKO - SPNUH #0122,TOWER SUTT 150kV BNGKO - SPNUH #0122,-2.1155153846901746,101.99482162749125
"POINT (101.993 -2.11467)",BNGKO - SPNUH #0123,TOWER SUTT 150kV BNGKO - SPNUH #0123,-2.11467,101.993
"POINT (101.991 -2.11387)",BNGKO - SPNUH #0124,TOWER SUTT 150kV BNGKO - SPNUH #0124,-2.11387,101.991
"POINT (101.988 -2.1147)",BNGKO - SPNUH #0125,TOWER SUTT 150kV BNGKO - SPNUH #0125,-2.1147,101.988
"POINT (101.98588822502646 -2.1155541040934707)",BNGKO - SPNUH #0126,TOWER SUTT 150kV BNGKO - SPNUH #0126,-2.1155541040934707,101.98588822502646
"POINT (101.983290677914 -2.116614143254742)",BNGKO - SPNUH #0127,TOWER SUTT 150kV BNGKO - SPNUH #0127,-2.116614143254742,101.983290677914
"POINT (101.9798689847812 -2.11702368222177)",BNGKO - SPNUH #0128,TOWER SUTT 150kV BNGKO - SPNUH #0128,-2.11702368222177,101.9798689847812
"POINT (101.97758285604921 -2.1178456559997243)",BNGKO - SPNUH #0129,TOWER SUTT 150kV BNGKO - SPNUH #0129,-2.1178456559997243,101.97758285604921
