WKT,name,description
POINT (102.243856 -0.615158),T.473,T.473 AA+9
POINT (102.240241 -0.614068),T.474,T.474 AA+9
POINT (102.23637 -0.612901),T.475,T.475 AA+0
POINT (102.232933 -0.611865),T.476,T.476 AA+3
POINT (102.228898 -0.610648),T.477,T.477 AA+0
POINT (102.226282 -0.609859),T.478,T.478 CC+0
POINT (102.22326 -0.60972),T.479,T.479 AA+6
POINT (102.219492 -0.609561),T.480,T.480 AA+9
POINT (102.215956 -0.609411),T.481,T.481 AA+3
POINT (102.212355 -0.609258),T.482,T.482 AA+12
POINT (102.208328 -0.609088),T.483,T.483 AA+9
POINT (102.204428 -0.608889),T.484,T.484 AA+0
POINT (102.201016 -0.608713),T.485,T.485 AA+3
POINT (102.197614 -0.608538),T.486,T.486 AA+9
POINT (102.19373 -0.608339),T.487,T.487 CC+9
POINT (102.189791 -0.607115),T.488,T.488 AA+3
POINT (102.187218 -0.606316),T.489,T.489 AA+0
POINT (102.183956 -0.605302),T.490,T.490 AA+0
POINT (102.180098 -0.604104),T.491,T.491 AA+6
POINT (102.176237 -0.602904),T.492,T.492 AA+3
POINT (102.173666 -0.602105),T.493,T.493 AA+0
POINT (102.171094 -0.601306),T.494,T.494 AA+0
POINT (102.16764 -0.600233),T.495,T.495 AA+0
POINT (102.164341 -0.599208),T.496,T.496 AA+0
POINT (102.16104 -0.598182),T.497,T.497 BB+0
POINT (102.158221 -0.597306),T.498,T.498 AA+0
POINT (102.154258 -0.596168),T.499,T.499 AA+3
POINT (102.15037 -0.595052),T.500,T.500 AA+6
POINT (102.147393 -0.594198),T.501,T.501 AA+0
POINT (102.144156 -0.593269),T.502,T.502 AA+0
POINT (102.140488 -0.592217),T.503,T.503 AA+0
POINT (102.136431 -0.591052),T.504,T.504 AA+9
POINT (102.132754 -0.589997),T.505,T.505 AA+9
POINT (102.129381 -0.589019),T.506,T.506 AA+3
POINT (102.124997 -0.587712),T.507,T.507 BB+6
POINT (102.121698 -0.586722),T.508,T.508 AA+6
POINT (102.117826 -0.585561),T.509,T.509 AA+6
POINT (102.114001 -0.584414),T.510,T.510 AA+9
POINT (102.110463 -0.583353),T.511,T.511 AA+12
POINT (102.105823 -0.581962),T.513,T.513 BB+12
POINT (102.101134 -0.580556),T.514,T.514 BB+0
POINT (102.097264 -0.579395),T.515,T.515 DD+3
POINT (102.094676 -0.576385),T.516,T.516 AA+6
POINT (102.091932 -0.573192),T.517,T.517 AA+12
POINT (102.089298 -0.570129),T.518,T.518 AA+6
POINT (102.086691 -0.567095),T.519,T.519 AA+3
POINT (102.084191 -0.564188),T.520,T.520 AA+3
POINT (102.081459 -0.560936),T.521,T.521 AA+3
POINT (102.07904 -0.558059),T.522,T.522 AA+6
POINT (102.076548 -0.555014),T.523,T.523 AA+6
POINT (102.073969 -0.551863),T.524,T.524 AA+6
POINT (102.071488 -0.548832),T.525,T.525 AA+6
POINT (102.06893 -0.545707),T.526,T.526 AA+9
POINT (102.066222 -0.542398),T.527,T.527 BB+6
POINT (102.064338 -0.539643),T.528,T.528 AA+6
POINT (102.061772 -0.535892),T.529,T.529 BB+6
POINT (102.059735 -0.532915),T.530,T.530 BB+12
POINT (102.056704 -0.530178),T.531,T.531X AA+12
POINT (102.05379 -0.527547),T.532,T.532 AA+6
POINT (102.05058 -0.524697),T.533,T.533 AA+0
POINT (102.048011 -0.522002),T.534,T.534 AA+0
POINT (102.045509 -0.519182),T.535,T.535 AA+12
POINT (102.042498 -0.515736),T.536,T.536 AA+12
POINT (102.039968 -0.512839),T.537,T.537 AA+9
POINT (102.03711 -0.509596),T.538,T.538 AA+6
POINT (102.034307 -0.506417),T.539,T.539 CC+9
POINT (102.030595 -0.504332),T.540,T.540 EE+6
POINT (102.028343 -0.504725),T.540B,T.540A LN1 FF+0
POINT (102.028569 -0.50512),T.540A,T.540B LN2 FF+0
